Designator,Mid X,Mid Y,Layer,Rotation
C1,16.9,39.43,Bottom,180
C2,16.93,45.16,Bottom,180
C3,33.53,38.7,Bottom,0
C4,16.81,36.61,Bottom,180
C5,19.45,49.8,Bottom,90
C6,25.52,49.87,Bottom,90
C7,33.53,40.11,Bottom,0
C8,24.47,36.59,Bottom,270
C9,21.59,36.57,Bottom,270
C10,16.84,38.02,Bottom,180
C11,16.94,43.71,Bottom,180
C12,-10.29,53.21,Bottom,90
C13,-2.77,24,Bottom,270
C14,-0.97,31,Bottom,90
C15,-3.14,20.49,Bottom,0
C16,-3.18,18.2,Bottom,0
C17,-19.36,36.16,Bottom,180
C18,-19.61,32.66,Bottom,180
C19,4.03,22.71,Bottom,0
C20,36.16,39.94,Bottom,90
C21,36.82,45.22,Bottom,270
C22,-9.66,40.74,Bottom,0
C23,-11.38,37.81,Bottom,0
C24,5.6,10.7,Bottom,0
C25,2.22,10.54,Bottom,270
C26,-0.08,17.72,Bottom,270
C27,-0.4,16.56,Bottom,180
C28,1.36,22.72,Bottom,180
C29,2.54,22.85,Bottom,90
C42,3.98,9.86,Bottom,270
C43,8.06,23.07,Bottom,270
D1,-9.31,35.3,Bottom,270
D2,23.47,34.27,Bottom,0
D3,-11.15,34.06,Bottom,270
D4,-8.14,35.32,Bottom,270
FD2,2.62,90.93,Bottom,180
FD4,2.61,-5.08,Bottom,180
FD6,85.75,-5.08,Bottom,180
IC1,-4.06,50.74,Bottom,180
IC2,5.4,17.59,Bottom,180
J1,-18.92,43.43,Bottom,90
J2,-15.15,26.2,Bottom,285
JP1,-2.39,37,Bottom,270
L2,-11.89,40.17,Bottom,270
MK1,25.18,53.22,Bottom,270
Q1,36.47,42.66,Bottom,270
Q2,-4.58,29.78,Bottom,0
R1,16.89,40.84,Bottom,180
R2,16.9,42.27,Bottom,180
R3,2.8,53.22,Bottom,90
R4,4.37,53.23,Bottom,90
R5,22.39,49.8,Bottom,90
R6,20.93,49.83,Bottom,90
R7,33.18,46.47,Bottom,180
R8,-15.68,37.35,Bottom,180
R9,-15.62,49.95,Bottom,0
R10,23.02,36.57,Bottom,270
R11,-5.51,33.63,Bottom,270
R12,-13.89,32.14,Bottom,0
R13,-14.35,34.27,Bottom,90
R14,33.56,41.56,Bottom,180
R15,-0.48,19.54,Bottom,180
R16,9.8,23.13,Bottom,270
R17,6.6,23.09,Bottom,270
R18,5.2,23.08,Bottom,90
R19,-5.94,35.95,Bottom,0
S1,48.26,56.9,Bottom,90
S2,48.26,18.51,Bottom,90
S3,44.11,18.44,Bottom,90
SW1,-13.76,16.91,Bottom,115
U1,24.23,42.94,Bottom,270
U2,-0.23,27.22,Bottom,90
U3,-5.72,19.77,Bottom,90
U4,-17.11,33.45,Bottom,90
C30,105.78,40.6,Top,270
C31,98.94,71.43,Top,303
C32,97.41,9.74,Top,270
C33,77.1,95.01,Top,336
C34,46.11,104.43,Top,8
C35,14.88,97.37,Top,41
C36,-8.7,75.52,Top,74
C37,-18.13,44.69,Top,106
C38,-10.81,13.31,Top,139
C39,11.25,-10.38,Top,172
C40,42.1,-20.03,Top,205
C41,73.47,-12.89,Top,237
FD1,2.62,90.93,Top,0
FD3,2.61,-5.08,Top,0
FD5,85.75,-5.08,Top,0
LED1,106.41,42.6,Top,0
LED2,98.07,73.72,Top,33
LED3,75.3,96.5,Top,66
LED4,44.18,104.83,Top,98
LED5,13.07,96.5,Top,131
LED6,-9.71,73.72,Top,164
LED7,-18.05,42.6,Top,196
LED8,-9.71,11.49,Top,229
LED9,13.07,-11.29,Top,262
LED10,44.18,-19.63,Top,295
LED11,75.3,-11.29,Top,327
LED12,98.07,11.49,Top,0
RGB1,11.43,6.35,Top,0
RGB2,17.78,6.35,Top,0
RGB3,24.13,6.35,Top,0
RGB4,30.48,6.35,Top,0
RGB5,36.83,6.35,Top,0
RGB6,43.18,6.35,Top,0
RGB7,49.53,6.35,Top,0
RGB8,55.88,6.35,Top,0
RGB9,62.23,6.35,Top,0
RGB10,68.58,6.35,Top,0
RGB11,74.93,6.35,Top,0
RGB12,81.28,6.35,Top,0
RGB13,11.43,31.75,Top,0
RGB14,17.78,31.75,Top,0
RGB15,24.13,31.75,Top,0
RGB16,30.48,31.75,Top,0
RGB17,36.83,31.75,Top,0
RGB18,43.18,31.75,Top,0
RGB19,49.53,31.75,Top,0
RGB20,55.88,31.75,Top,0
RGB21,62.23,31.75,Top,0
RGB22,68.58,31.75,Top,0
RGB23,74.93,31.75,Top,0
RGB24,81.28,31.75,Top,0
RGB25,11.43,57.15,Top,0
RGB26,17.78,57.15,Top,0
RGB27,24.13,57.15,Top,0
RGB28,30.48,57.15,Top,0
RGB29,36.83,57.15,Top,0
RGB30,43.18,57.15,Top,0
RGB31,49.53,57.15,Top,0
RGB32,55.88,57.15,Top,0
RGB33,62.23,57.15,Top,0
RGB34,68.58,57.15,Top,0
RGB35,74.93,57.15,Top,0
RGB36,81.28,57.15,Top,0
RGB37,11.43,82.55,Top,0
RGB38,17.78,82.55,Top,0
RGB39,24.13,82.55,Top,0
RGB40,30.48,82.55,Top,0
RGB41,36.83,82.55,Top,0
RGB42,43.18,82.55,Top,0
RGB43,49.53,82.55,Top,0
RGB44,55.88,82.55,Top,0
RGB45,62.23,82.55,Top,0
RGB46,68.58,82.55,Top,0
RGB47,74.93,82.55,Top,0
RGB48,81.28,82.55,Top,0
